original_path,medium_id,original_url,new_dir,date,title
/2016/09/26/ipywidget-security-release,,https://blog.jupyter.org/2016/09/26/ipywidget-security-release,2016-09-26-ipywidget-security-release,2016-09-26,ipywidget security release
/2016/09/26/ipywidget-security-release,,https://blog.jupyter.org/2016/09/26/ipywidget-security-release,2016-09-26-ipywidget-security-release,2016-09-26,ipywidget security release
/jupyterday-paris-4afa5e97cb1a,4afa5e97cb1a,https://blog.jupyter.org/jupyterday-paris-4afa5e97cb1a,2016-12-03-jupyterday-paris,2016-12-03,JupyterDay Paris
/2016/12/03/jupyterday-paris,4afa5e97cb1a,https://blog.jupyter.org/2016/12/03/jupyterday-paris,2016-12-03-jupyterday-paris,2016-12-03,JupyterDay Paris
/security-release-jupyter-notebook-4-3-1-808e1f3bb5e2,808e1f3bb5e2,https://blog.jupyter.org/security-release-jupyter-notebook-4-3-1-808e1f3bb5e2,2016-12-22-security-release-jupyter-notebook-4-3-1,2016-12-22,Security release: Jupyter Notebook 4.3.1
/2016/12/21/jupyter-notebook-4-3-1,808e1f3bb5e2,https://blog.jupyter.org/2016/12/21/jupyter-notebook-4-3-1,2016-12-22-security-release-jupyter-notebook-4-3-1,2016-12-22,Security release: Jupyter Notebook 4.3.1
/jupytercon-nyc-august-2017-8e21f649d83e,8e21f649d83e,https://blog.jupyter.org/jupytercon-nyc-august-2017-8e21f649d83e,2017-01-27-jupytercon-nyc-august-2017,2017-01-27,"JupyterCon NYC, August 2017"
/2017/01/26/jupytercon-2017,8e21f649d83e,https://blog.jupyter.org/2017/01/26/jupytercon-2017,2017-01-27-jupytercon-nyc-august-2017,2017-01-27,"JupyterCon NYC, August 2017"
/openness-diversity-and-dignity-a-foundation-for-global-collaboration-f7c71fba523,f7c71fba523,https://blog.jupyter.org/openness-diversity-and-dignity-a-foundation-for-global-collaboration-f7c71fba523,2017-01-31-openness-diversity-and-dignity-a-foundation-for-global-collaboration,2017-01-31,"Openness, Diversity and Dignity: a Foundation for Global Collaboration"
/2017/01/31/openness-diversity-and-dignity,f7c71fba523,https://blog.jupyter.org/2017/01/31/openness-diversity-and-dignity,2017-01-31-openness-diversity-and-dignity-a-foundation-for-global-collaboration,2017-01-31,"Openness, Diversity and Dignity: a Foundation for Global Collaboration"
